Moisture,Temperature,pH,Support Growth
96.79,17.88,2.03,No
40.4,37.42,2.92,No
92.5,11.56,4.68,No
19.73,0.59,4.32,No
36.14,48.65,5.2,No
47.11,43.63,13.31,No
71.67,47.77,13.72,No
81.98,21.59,4.41,No
40.81,29.16,3.23,No
2.87,2.69,9.1,No
19.04,0.92,12.68,No
67.23,3.29,2.95,No
93.39,4.47,12.51,No
14.43,46.84,3.12,No
9.77,19.04,2.5,No
6.91,10.93,4.49,No
71.26,44.4,3.04,No
57.37,38.39,1.49,No
79.37,2.21,2.31,No
16.34,42.98,13.54,No
71.01,21.29,2.2,No
63.46,37.94,1.32,No
16.82,4.57,8.92,No
89.46,17.58,12.31,No
48.77,36.06,13.42,No
34.25,42.64,4.6,No
40.99,45.94,10.41,No
92.36,11.1,2.38,No
43.33,3.93,2.96,No
12.43,41.9,7.8,No
26,16.93,9.95,No
90.43,6.84,13.71,No
51.08,1.58,8.07,No
23.44,20.26,3.05,No
63.37,38,3.25,No
9.39,32.84,10.68,No
58.91,24.84,12.85,No
73.33,44.36,5.5,No
72.44,20.72,4.82,No
14.79,38.07,2.66,No
55.93,20.26,3.94,No
29.37,28.93,12.29,No
77.34,25.11,9.22,No
43.78,28.48,2.92,No
26.84,29.82,7.91,Yes
33.34,0.37,3.5,No
32.39,42.95,0.93,No
25.27,36.87,11.96,No
51.12,14.39,12.52,No
16.32,5.32,12.04,No
43.49,25.81,11.62,No
81.65,45.01,7.75,No
50.71,35.18,11.72,No
50.54,35.29,7.9,No
55.15,39.51,0.54,No
15.77,6.59,5.46,No
58.84,46.27,4.53,No
45.99,4.97,8.32,No
31.01,1.92,10.69,No
35.79,12.37,9.09,No
50.09,14.44,4.63,No
18.11,20.52,3.51,No
27.47,23.32,1.57,No
46.4,8.42,10.78,No
31.35,43.83,0.6,No
93.87,13.46,5.9,No
19.52,7.48,6.72,No
89.76,12.12,7.62,No
34.85,5.96,5.36,No
38.65,9.63,13.61,No
0.25,36.73,12.99,No
92.63,44.96,10.11,No
52.34,42.77,9.78,No
92.2,47.95,3.59,No
17.8,49.63,9.84,No
90.89,7.29,1.77,No
18.75,28.03,2.21,No
54.48,30.31,3.59,Yes
32.14,4.99,9.89,No
77.04,2.72,10.64,No
31.47,15.4,9.9,No
79,49.11,8.62,No
4.91,3.51,9.51,No
88.54,3.51,10.99,No
80.39,41.59,2.38,No
21.13,22.7,1.77,No
1.62,17.67,2.45,No
83.57,27.81,8.24,No
85.11,38.72,3.08,No
89.21,34.39,10.72,No
29.81,19.68,6.54,No
78.11,11.52,1.66,No
71.56,5.16,1.74,No
3.13,35.15,9.93,No
62.19,23.23,3.59,No
70.18,32.5,13.28,Yes
62.12,16.78,2.25,No
9.54,28.15,4.72,No
38.03,35.7,8.25,No
33.42,6.42,6.07,No
69.55,43.36,11.68,No
45.13,23.48,0.92,No
4.1,48.96,2.56,No
43.45,39.9,7.99,No
22.63,17.3,0.31,No
5.62,21.79,9.68,No
19.74,41.58,2.28,No
62.65,5.15,2.8,No
91.09,31.48,6.16,Yes
1.75,15.56,3.75,No
5.74,40.12,2.77,No
59.18,20.65,13.71,No
80.33,21.94,5.92,No
57.26,5.9,8.43,No
97.43,12.52,7.48,No
72.28,9.33,2.67,No
20.15,47.16,8.55,No
2.3,39.22,10.83,No
71.7,12.39,2.5,No
80.4,38.92,2.39,No
38.75,45.71,8.08,No
64.61,32.51,1.36,Yes
93.53,42.26,3.44,No
14.15,24.94,10.53,No
86.82,10.58,8.19,No
12.06,4.08,12.17,No
77.76,31.23,0.41,No
64.4,4.2,7.33,No
75.4,39.03,6.83,No
59.82,32.4,4.26,Yes
7.33,8.58,4.89,No
63.66,5.74,0.27,No
55.81,10.34,4.42,No
84.46,9.38,9.08,No
86.33,41.43,8.27,No
30.39,28.5,13.51,No
77.7,5.01,5.17,No
1.53,20.39,13.39,No
25.46,46.82,11.58,No
84.41,28.05,1.84,No
22.07,11.95,5.27,No
26.09,20,10.23,No
85.38,38.35,0.01,No
30.04,25.1,1.94,No
58.89,30.76,1.55,Yes
47.54,43.79,8.83,No
1.23,9.52,4.63,No
43.9,40.14,7.49,No
87.04,28.68,8.98,No
2.22,25.25,8.37,No
41.29,43.57,9.63,No
68.1,19.6,10.41,No
15.39,1.38,3.58,No
24.64,44.71,9.63,No
86.07,14.85,4.63,No
85.5,14.04,11.42,No
81.96,22.17,11.52,No
42.14,11.26,9.24,No
36.34,37.07,8.37,No
24.61,40.97,1.06,No
45.98,25.09,8.77,No
88.75,12.15,12.34,No
61.18,44.09,4.04,No
59.92,45.75,6.15,No
36.27,28.82,8.82,No
98.07,34.55,3.21,No
6.29,35.39,4.11,No
54.63,40.5,6.83,No
66.33,38.06,5.43,No
11.15,44.29,4.12,No
79.88,44.91,7.68,No
67.99,3.58,7.79,No
70.6,15.44,6.21,Yes
44.82,18.61,3.75,No
49.67,24.52,6.82,No
64.28,3.56,9.91,No
96.69,46.01,10.84,No
84.74,28.66,2.03,No
17.28,26.96,12.02,No
54.73,31.65,4.05,Yes
73.28,45.43,0.12,No
52.52,22.52,11.85,No
49.17,12.15,3.8,No
27.39,41.03,10.62,No
75.19,25.77,4.86,No
4.29,18.77,0.74,No
74.64,26.54,9.39,No
73.63,40.94,4.82,No
16.33,42.75,1.27,No
11.24,29.93,11.61,No
3.73,3.32,11.48,No
73.72,24.77,3.73,No
59.82,22.42,13.65,No
6.02,22.69,11.66,No
18.19,38.42,3.8,No
53.83,16.93,1.7,No
71.66,24.12,0.82,No
2.19,24.18,1.65,No
75.46,43.41,5.17,No
57.15,0.29,5.61,No
87.87,20.58,1.95,No
37.05,28.87,6.17,Yes
23.53,24.94,4.18,No
96.48,39.78,11.32,No
1.91,25.72,3.03,No
25.18,37.63,5.48,No
86.14,2.93,9.75,No
97.97,44.38,0.38,No
53.81,31.76,13.97,Yes
42.06,28.86,11.7,No
78.23,48.3,11.09,No
6.17,17.36,2.49,No
9.29,2.46,11.7,No
15.19,44.64,4.78,No
42.15,44.28,11.33,No
59.58,35.01,0.37,No
9.64,45.4,7.39,No
89.8,43.03,5.5,No
28.19,45.21,10.29,No
24.93,20.28,4.82,No
55.92,25.21,1.78,No
97.05,45.37,7.27,No
40.6,38.6,6.35,No
58.29,27.34,11.45,No
33.43,17.6,1.45,No
4.61,23.97,13.01,No
11.37,2.24,8.79,No
32.87,40.87,10.87,No
65.42,13.4,5.22,No
56.62,24.17,0.63,No
95.09,8.1,13.13,No
43.1,26.37,5.35,No
44.54,44.15,9.64,No
51.54,45.24,7.16,No
40.3,33.66,9.35,No
87.43,27.69,13.26,No
79.4,49.56,12.83,No
95.88,6.28,1.78,No
9.73,5.43,11.7,No
9.86,46.38,1.95,No
46.98,3.69,11.24,No
26.44,16.27,4.73,No
74.32,7.51,2.38,No
5,24.76,11.37,No
70.17,32.05,9.91,Yes
7.47,20.44,4.42,No
45.53,30.08,8.39,Yes
49.55,46.9,6.1,No
33.63,35.82,3.46,No
55.05,42.32,4.42,No
70.06,35.1,12.1,No
48.45,38.93,8.1,No
44.18,5.97,2.39,No
93.32,0.24,8.22,No
35.56,20.31,11.69,No
74.18,42.49,9.27,No
90.18,23.36,13.08,No
50.88,49.81,11.99,No
73.06,27.32,9.75,No
92.58,3.28,10.49,No
1.43,10.67,1.69,No
95.19,6.41,8.08,No
10.98,12.14,13.28,No
61.36,42.26,8.37,No
78.57,24.35,8.12,No
5.47,32.54,1.55,No
87.62,45.93,5.32,No
83.96,8.77,1.08,No
55.6,14.67,12.45,No
60.69,15.13,5.5,No
92.52,25.87,3.64,No
27.05,33.15,12.81,No
3.22,18.78,12.3,No
12.96,42.83,0.14,No
69,13.6,6.32,Yes
4.74,38.48,11.89,No
16.26,48.59,2.36,No
88.85,22.42,6.55,No
92.04,22.77,0,No
86.66,16.63,3.7,No
42.48,9.64,11.51,No
44.52,31.76,8.93,Yes
13.39,31.07,6.96,Yes
9.19,45.12,9.34,No
0.82,25.95,9.91,No
56.1,48.31,12.93,No
73.85,42.85,8.51,No
10.51,24.87,13.64,No
16.17,3.09,8.47,No
42.12,23.82,8.47,No
39.43,45.71,13.09,No
44.18,47.94,0.09,No
29.49,26.76,11.2,No
97.35,13.51,6.68,No
31.08,22.41,4.77,No
14.86,35.03,0.68,No
27.8,26.64,2.76,No
10.43,30.83,3.17,No
3.56,1.52,9.57,No
30.5,32.6,8.3,No
48.89,27.43,1.95,No
25.93,2.49,5.27,No
50.79,45.68,13.13,No
7.6,0.43,11.25,No
31.36,41.82,3.42,No
21.42,8.69,11.08,No
87.15,26.8,10.31,No
29.81,40.19,1.55,No
12.58,36.23,8.83,No
2.64,30.91,6.71,Yes
14.29,42.24,6.91,No
87.94,11.54,9.19,No
26.27,41.76,6.63,No
32.88,49.78,1.03,No
42.07,30.25,9.45,Yes
10.48,11.95,2.94,No
35.95,16.91,1.66,No
76.56,32.53,2.66,No
44.97,20.61,13.45,No
64.09,24.59,0.29,No
85.68,18.67,3.3,No
4.62,26.82,13.59,No
26.39,38.28,2.57,No
33.86,33.4,1.03,No
40.49,4.59,7.06,No
20.07,21.86,9.59,No
12.69,11.26,1,No
58.72,27.29,1.59,No
12.34,17.87,1.16,No
97.92,45.58,8.16,No
70.52,3.94,6.14,No
81.23,37.64,8.99,No
92.17,10,0.49,No
82.38,34.83,9.53,No
34.74,42.1,13,No
98.51,16.39,9.12,No
38.2,40.72,8.71,No
79.46,30.8,13.3,No
72.41,41.71,8.89,No
15.87,13,13.68,No
84.8,16.44,12.15,No
33.98,47.81,9.64,No
46.45,31.21,13.27,Yes
23.29,5.29,7.37,No
35.43,25.29,11.74,No
64.43,33.28,0.86,Yes
19.36,37.48,6.48,No
59.16,27.62,0.07,No
11.76,10.77,11.52,No
22.63,30.07,11,No
83.07,42.77,2.53,No
60.99,3.83,1.77,No
76.94,35.14,9.67,No
38.61,14.39,5.03,No
76.78,3.72,12.03,No
97.1,14.59,2.8,No
59.62,11.34,12.9,No
20.57,22.89,0.35,No
32.67,44.22,3.04,No
3.01,17.3,4.08,No
41.25,3.2,2.27,No
37.67,44.2,5.32,No
61.2,13.1,3.75,No
28.88,40.36,11.73,No
42.99,20.45,2.97,No
44.59,48.77,2.45,No
94.09,25.29,9.38,No
94.62,34.52,6.71,No
86.24,36.6,10.05,No
19.69,6.25,11.29,No
15.5,46.08,2.11,No
42.84,30.54,9.15,Yes
64.6,29.78,0.92,Yes
94.66,14.99,5.48,No
16.3,39.98,10.18,No
78.17,40.76,0.52,No
88.43,38.69,5.56,No
32.82,2.35,4.02,No
5.84,49.7,7.73,No
96,18.43,3.01,No
28.12,8.76,7.96,No
54.37,15.15,0.56,No
98.96,17.37,1.43,No
53.79,29.33,11.72,No
49.75,14.46,4.68,No
54.08,31.43,8.36,Yes
87.21,26.06,5.34,No
23.18,29.55,11.49,No
56.63,2.01,1.01,No
5.4,35.21,2.37,No
58.41,38.99,1.06,No
88.55,19.62,5,No
12.4,26.23,10.14,No
67.06,38.24,11.53,No
18.06,35.54,3.04,No
90.51,37.48,12.01,No
9.73,15.21,8.95,No
93.56,17.31,13.96,No
52.94,12.8,0.49,No
44.13,3.29,10.41,No
65.81,33.13,4.9,Yes
65.48,20.84,1.69,No
61.21,20.94,3.95,No
21.21,40.86,4.49,No
35.14,35.3,12.61,No
99.93,39.08,11.51,No
23.71,30.38,13.4,No
76.95,20.16,0.59,No
81.33,42.7,5.01,No
2.72,38.99,3.44,No
55.64,44.94,11.03,No
99.36,46.93,13.75,No
79.15,14.22,6.57,No
32.81,12.52,12.17,No
61.8,39.55,7.4,No
72.07,37.02,1.06,No
81.27,16.27,2.38,No
95.47,31.18,4.24,No
87.08,49.4,2.54,No
50.12,33.4,0.72,Yes
20.39,29.43,0.76,No
80.53,11.54,6.76,No
13.54,2.16,1.47,No
87.62,49.85,12.56,No
55.57,15.19,12.92,No
93.38,46.49,4.34,No
14.96,28.83,3.47,No
16.52,2.17,5.66,No
92.26,13.72,3.26,No
59.93,24.24,11.33,No
73.98,13.73,13.02,No
6.8,33.19,1.77,No
84.92,35.33,4.29,No
46.37,18.26,3.41,No
12.12,18.33,1.38,No
99.29,25.05,2.59,No
17.84,24.82,6.55,No
18.64,32.91,5.92,No
71.2,38.73,2.21,No
71.78,24.68,13.27,No
49.53,43.79,6.35,No
77.67,13.93,13.08,No
36.83,15.12,4.42,No
72.37,40.63,12.11,No
7.39,3.27,2.9,No
3.76,4.43,0.94,No
70.34,24.15,2.33,No
51.39,38.34,5.65,No
69.66,15.74,5.42,No
47.23,16.95,2.37,No
69.19,1.39,7.2,No
36.71,40.15,3.41,No
26.2,18.13,7.36,No
82.32,11.86,10.27,No
16.33,28.17,10.76,No
89.31,12.24,7.08,No
7.31,9.34,7.98,No
59.3,36.59,9.68,No
27.52,8.28,8.71,No
6.09,40.3,7.74,No
58.61,43.36,12.82,No
52.42,28.44,1.33,No
84.31,35.65,6.15,No
96.08,36.29,13.06,No
67.44,4.66,13.3,No
81.91,3.78,9.16,No
94.25,38.37,10.14,No
0.14,31.3,12.88,No
67.4,36.89,11.45,No
56.55,49.14,2.71,No
46.64,41.84,6.76,No
73.29,4.16,3.72,No
97.73,26.01,12.31,No
35.12,30.04,6.17,Yes
33.49,17.02,11.19,No
13.32,24.67,4.77,No
98.08,38.34,8.86,No
53.45,4.07,1.16,No
85.45,15.24,7.24,No
94.86,37.49,0.13,No
29.76,12.29,11.22,No
21.33,2.83,6.02,No
20.3,15.39,2.48,No
13.72,30.81,10.91,No
18.19,36.19,13.87,No
68.63,6.59,0.08,No
13.16,47.35,9.19,No
72.94,33.98,5.89,Yes
49.65,38.39,10.91,No
39.71,23.42,3.5,No
0.59,3.39,3.38,No
94.26,36.15,4.29,No
30.03,18.54,12.7,No
98.65,44.42,1.85,No
43.48,11.15,12.81,No
0.49,43.97,6.24,No
34.26,34.9,10.76,No
51,14.78,13.41,No
81.17,17.98,6.92,No
87.43,49.82,0.14,No
33.08,19.09,12.71,No
80.79,45.55,12.44,No
84.12,22.85,3.87,No
34.71,9.02,13.08,No
62.32,20.29,0.98,No
98.9,23.39,13.87,No
48.28,13.5,10.14,No
67.2,22.18,3.72,No
53.36,6.11,5.22,No
94.07,19.2,10.67,No
7.72,11.67,6.07,No
44.13,25.35,5.62,No
91.51,31.89,2.21,No
78.34,22.93,8.72,No
26.01,31.1,13.03,Yes
38.99,45.39,0.41,No
41.89,0.1,13.59,No
0.4,41.99,4.21,No
31.6,39.27,8.35,No
75.32,15.95,7.78,No
64.6,48.48,4.52,No
20.82,30.06,0.94,No
20.4,11.71,2.64,No
80.02,34.48,2.84,No
23.64,7.98,13.66,No
42.78,29.81,5.29,Yes
52.46,13.32,3.87,No
10.51,15.97,8.52,No
22.86,1.85,6.34,No
53.91,21.18,10.49,No
85.75,25.92,13.16,No
89.72,26.41,9.48,No
10.32,25.25,12.09,No
80.53,11.08,3.54,No
88.39,9.99,0.19,No
26.97,41.55,5.64,No
85.72,23.28,9.37,No
87.52,3.23,8.94,No
29.13,42.09,4.23,No
53.48,46.66,13.28,No
35.72,15.7,9.09,No
3.58,5.44,0.19,No
91.34,48.11,8.23,No
83.21,28.87,0.71,No
30.74,2.98,5.48,No
91.62,28.69,10.77,No
54.51,20.7,5.78,Yes
67.94,49.15,1.85,No
56.43,27.89,1.75,No
61.98,4.49,4.58,No
52.89,36.63,8.3,No
97.4,17.35,2.6,No
4.79,22.35,9.17,No
11.46,15.53,6.21,Yes
27.76,39.65,8.22,No
0.56,27.96,9.48,No
50.32,20.7,11.19,No
46.18,29.24,10.7,No
46.98,14.96,8.15,No
26.19,1.09,7.53,No
70.58,23.83,3.41,No
42.63,27.53,4.63,No
22.7,11.86,1.3,No
62.57,21.54,7.76,No
6.14,44.59,2.94,No
24.63,23.33,13.85,No
35.72,44.46,5.66,No
9.35,45.8,13.47,No
90.27,18.43,5.75,No
6.78,17.21,12.13,No
69.63,15.19,8.08,No
45.33,31.79,10.91,Yes
23.33,36.51,11.3,No
43.79,30.36,12.78,Yes
23.79,27.49,1.75,No
74.21,34.73,0.38,Yes
2.84,12.82,8.73,No
0.55,27.02,4.33,No
29.5,16.54,9.39,No
86.09,19.18,6.12,No
75.98,14.18,10.05,No
5.95,45.52,8.77,No
74.74,4.01,9.88,No
96.08,17.77,0.71,No
80.03,5.64,13.81,No
98.99,7.48,5.3,No
82.33,25.18,8.12,No
33.21,8.3,6.71,No
82.86,40.79,10.85,No
94.24,43.51,5.62,No
44.4,25.81,2.49,No
29.51,45.79,3.97,No
39.69,47.71,7.44,No
92.89,14.8,2.84,No
13.07,35.97,13.94,No
41.99,17.01,4.43,No
78.03,19.99,12.36,No
12.33,32.01,2.03,No
39.56,49.39,10.24,No
86.43,16.7,7.11,No
22.84,43.11,12.07,No
55.97,32.39,2.38,Yes
82.67,8.49,10.49,No
33.04,20.83,0.86,No
41.11,43.58,1.16,No
5.23,0.59,3.18,No
24.54,21.86,0.41,No
93.02,11.02,9.86,No
62.15,16.27,13.82,No
52.72,19.54,12.9,No
55.51,12.77,12.83,No
50.1,25.74,12.76,No
32.86,49.43,13.76,No
88.98,1.64,7.76,No
48.55,15.97,8.1,No
82.51,16.58,1.22,No
44.5,47.19,12.65,No
86.1,14.75,2.77,No
53.86,36.68,11.07,No
86.25,1.35,6.44,No
58.79,44.09,11.26,No
4.15,3.32,4.8,No
14.65,32.11,10.17,No
78.04,28.7,8.66,No
18.34,32.99,8.21,No
2.91,5.26,3.76,No
55.66,18.95,13.57,No
31.5,36.87,10.43,No
89.29,30.23,9.33,No
81.83,48.65,12.23,No
1.33,25.48,11.39,No
64.99,10.25,0.43,No
85.34,37.44,10.98,No
96.7,6.31,2.09,No
48.81,6.4,7.78,No
68.6,21.97,11.61,No
84.27,19.03,4.07,No
44.77,13.56,6.07,Yes
57.19,48.03,6.37,No
51.72,30.38,8.43,Yes
63.97,22.51,5.99,Yes
19.52,13.86,10.63,No
89.21,34.2,7.83,No
3.18,19.59,4.72,No
5.31,20.67,9.54,No
17.97,20.45,0.36,No
4.24,40.69,3.02,No
48.65,38.57,8.48,No
93.61,10.05,7.63,No
58.53,18.13,12.79,No
38.59,7.32,13.72,No
87.46,23.18,10.8,No
65.42,42.44,11.45,No
78.21,43.98,5.85,No
1.08,24.81,4.99,No
36.01,30.83,0.23,Yes
53.57,44.77,11.34,No
64.3,41.94,7.62,No
21.86,44.07,9.82,No
60.96,24.63,7.99,No
6.53,37.16,12.31,No
84.58,13.73,10.2,No
42.78,14.02,7.43,No
65.38,11.32,3.74,No
8.86,34.61,11.59,No
51.22,39.81,12.74,No
8.2,24.99,2.88,No
47.4,22.59,4.25,No
48.99,35.07,7.85,No
27.2,48.26,10.29,No
70.07,47.39,10.41,No
73.03,8.31,12.98,No
6.59,49.72,3.39,No
75.85,16.9,10.66,No
44.14,40.94,3.97,No
41.21,10.23,0.15,No
76.08,41.83,12.97,No
88.44,40.02,8.39,No
32.31,1.68,13.47,No
60.38,43.69,3.31,No
0.43,17.58,12.16,No
5.25,32.9,9.52,No
43.73,16.49,2.51,No
13.31,7.91,12.62,No
27.7,8.02,1.15,No
12.43,36.5,11.51,No
62,7.89,6.48,No
83.55,1.55,6.5,No
6.28,39.35,1.27,No
17.42,28.25,2.12,No
83.08,26.96,2.98,No
10.87,48.57,0.25,No
40.62,41.6,11.26,No
30.38,41.62,4.95,No
51.71,48.27,6.82,No
35.83,9.05,13.62,No
33.14,23.44,8.77,No
91.69,41.67,5.65,No
13.86,24.91,7.65,No
82.86,36.2,11.46,No
35.71,46.77,2.24,No
59.42,46.68,12.2,No
93.11,28.5,11.03,No
80.46,49.54,2.26,No
94.34,35.42,2.21,No
11,36.89,3.2,No
85.08,45.16,10.18,No
3.6,32.97,13.38,No
23.39,3.36,6.92,No
22.98,48.33,6.54,No
92.01,44.58,11.68,No
68.37,8.99,13.6,No
79.32,19.28,6.05,Yes
94.73,11.55,1.6,No
55.1,31.15,8.18,Yes
36.94,7.74,1.49,No
17.72,7.11,2.61,No
6.51,45.7,3.45,No
70.9,3.07,9.03,No
78.64,38.72,5.61,No
98.55,48.47,10.99,No
1.97,23.73,11.69,No
63.16,44.68,3.7,No
66.51,0.99,0.58,No
41.17,26.93,1.17,No
5.93,27.42,2.9,No
94.74,43.03,2.63,No
33.35,11.15,4.87,No
45.51,42.96,6.39,No
71.02,4.75,10.76,No
26.76,19.23,3.83,No
91.74,8.2,8.95,No
31.37,35.75,1.41,No
62.07,32.1,7.83,Yes
56.39,24.75,12.79,No
34.29,40.14,6.54,No
22.69,42.43,2.55,No
52.27,43.96,12.6,No
47.68,22.12,5.92,No
41.92,35.77,13.81,No
99.29,10.36,9.22,No
87.86,16.24,2.73,No
65.42,3.92,9.94,No
95.13,37.75,0.28,No
58.04,39.26,11.59,No
13.52,30.55,5.26,No
19.17,25.04,0.17,No
42.22,25.25,7.23,No
20.54,4.88,7.56,No
43.12,20.97,2.97,No
76.39,17.94,1.49,No
45.08,41.51,4.52,No
70.14,17.24,9.83,No
48.8,45.49,5.21,No
79.26,48.14,10.23,No
6.22,45.95,1.41,No
56.26,36.75,10.39,No
43.38,8.15,13.87,No
72.67,40.33,5.38,No
51.87,12.18,5.42,No
39.01,21.54,2.66,No
91.88,33.57,2.66,No
32.12,26.61,10.88,No
51.03,39.77,3.48,No
40.1,21.91,2.54,No
3.88,9.15,4.65,No
99.61,0.14,2.51,No
69.34,30.33,1.54,Yes
44.45,4.47,11.39,No
57.69,28.85,4.45,No
35.57,7.98,11.9,No
12.49,2.15,4.07,No
60.26,10.7,12.09,No
80.9,1.88,5.56,No
54.92,10.95,11.97,No
12.14,24.87,9.9,No
96.8,28.62,8.44,No
69.93,0.57,5.94,No
73.06,37.87,8.64,No
7.01,42.58,6.72,No
97.01,34.83,12.08,No
99.18,0.86,1.19,No
74.52,4.07,1.76,No
16.24,6.83,11.25,No
77.68,30.44,7.89,No
68.99,15.81,10.44,No
91.48,21.65,8.87,No
98.44,43.63,0.63,No
11.93,6.8,1.25,No
67.69,49.74,11.24,No
46.28,21.74,5.15,No
20.46,46.18,6.48,No
15.52,34.2,0.22,No
72.08,29.1,2.83,No
23.29,9.67,5.1,No
69.38,23.53,5.03,No
70.99,36.04,7.72,No
8.12,15,7.78,No
88.73,6,1.88,No
24.22,38.1,5.85,No
64.1,42.2,7.57,No
83.27,2.22,5.39,No
64.42,23.13,12.63,No
83.95,19.5,7.96,No
39.7,24.33,0.16,No
73.29,30.02,7.84,Yes
95.13,38.26,3.22,No
70.8,41.18,8.36,No
78.61,23.23,10.17,No
52.02,43.04,0.12,No
19.59,2.64,12.55,No
34.86,13.57,4.33,No
11.13,25.33,7.2,No
47.89,38.94,2.59,No
40.8,34.08,4.93,No
17.85,49.32,12.79,No
22.93,30.75,9.69,No
25.46,8.71,3.12,No
90.53,16.98,7.16,No
67.3,26.13,1.51,No
11.78,35.29,13.91,No
82.35,9.48,4.73,No
55.99,40.24,13.81,No
70.14,34.78,3.2,Yes
79.58,41.22,11.25,No
90.26,46.28,4.95,No
45.76,10.89,0.84,No
41.61,40.13,8.03,No
12.64,32.8,13.65,No
76.78,29.28,8.64,No
35.46,36.04,3.8,No
74.73,38.77,8.69,No
10.41,47.31,9.99,No
88.71,39.24,4.98,No
95.58,36.35,5.86,No
52.88,0.91,12,No
83.16,44.37,3.34,No
95.85,13.75,13.29,No
47.45,32.71,2.11,No
15.15,43.4,8.2,No
14.18,41.33,8.91,No
5.51,40.86,5.95,No
96.55,24.42,12.27,No
46.68,9.74,6.56,No
10.07,19.72,1.05,No
49.9,21.65,0.42,No
4.62,34.7,4.59,No
13.55,24.8,12.63,No
8.92,0.33,4.26,No
1.53,37.09,4.79,No
13.56,2.22,7.6,No
95.81,18.82,1.05,No
41.2,1.55,9.04,No
80.03,18.9,12.64,No
79.66,4.12,13.77,No
17.56,44.43,12.86,No
10.49,38.88,7.93,No
94.71,23.8,9.28,No
16.52,0.94,3.16,No
46.32,23.11,1.84,No
3.71,24.06,10.65,No
43.41,18.91,9.2,No
90.95,38.36,9.86,No
97.35,36.58,2.37,No
4.58,42.58,6.45,No
92.83,36.94,4.11,No
9.86,11.1,6.82,No
5.95,31.14,1.79,No
92.2,44.84,6.61,No
29.3,14.12,11.59,No
7.85,9.49,10.37,No
88.83,3.18,10.88,No
32.8,24,9.52,No
76.98,19.92,5.4,No
13.61,23.57,4.3,No
63.21,44.39,6.07,No
23.09,19.23,2.3,No
42.73,48.27,12.99,No
98.23,3.53,13.31,No
98.1,5.79,3.91,No
76.23,2.98,7.24,No
55.02,6.96,2.22,No
93.34,45.83,8.11,No
70.15,12.38,4.88,No
28.28,6.98,10.34,No
5.78,18.8,2.05,No
41.18,48.83,1.59,No
98.08,47.9,12.38,No
53.75,22.84,12.2,No
66.39,48.95,12.44,No
72.69,3.51,11.6,No
65.23,47.12,9.95,No
96.3,44.1,12.83,No
95.26,21.96,10.27,No
62.23,26.24,10.03,No
54.91,22.92,1.86,No
68.86,1.93,12.06,No
5.03,1.68,8.47,No
52.86,31.55,10.88,Yes
74.14,21.52,4.49,No
9.05,0.77,10.52,No
71.73,3.33,0.89,No
53.19,7.27,13.86,No
95.95,29.28,9.9,No
47.99,19.42,10.97,No
68.12,7.29,9.7,No
47.12,28.16,2.58,No
18.88,24.24,13.98,No
6.61,36.32,7.63,No
29.74,8.04,2.35,No
68.32,15.18,8.83,No
84.86,41.14,4.15,No
56.42,39.46,12.82,No
77.14,45.16,5.06,No
81.26,30.09,10.12,No
98.59,35.43,10.26,No
12.5,0.78,1.04,No
93.41,20.05,4.26,No
97.78,12.7,7.5,No
47.95,34.18,8.34,No
78.6,23.67,0.8,No
32.11,25.93,7.87,No
85.39,34.06,2.7,No
11.86,12.33,4.23,No
25.57,10.61,8.29,No
64.37,8.51,4.3,No
51.99,46.22,1.42,No
59.92,41.86,2.51,No
24.56,30.04,7.56,No
95.98,40.23,12.9,No
11.8,22.68,10.52,No
28.66,35.93,0.37,No
62.37,23.29,13.12,No
48.95,0.79,2.06,No
64.25,27.57,12.07,No
87.24,39.91,1.92,No
94.63,6.66,12.41,No
90,15.17,9.21,No
47.1,30.57,5.35,Yes
39.02,13,0.83,No
31.96,47.19,0.54,No
8.11,29.18,5.61,No
55.7,6.11,0.04,No
50.96,30.8,6.23,Yes
1.53,10.7,11.73,No
82.06,23.27,0.89,No
12.14,2.12,11.05,No
97.93,19.17,0.48,No
96.31,37.42,3.21,No
77.5,0.84,3.68,No
34.92,19.34,1.09,No
88.07,38.49,7.06,No
85.84,20.61,7.11,No
19.16,1.52,6.35,No
66.69,13.98,4.33,No
38.14,33.05,9.45,No
72.32,24.28,8.76,No
44.58,9.24,11.01,No
86.47,40.81,9.59,No
46.43,3.46,4.64,No
3.59,38.67,5.81,No
38.18,29.48,10.17,Yes
91.38,5.52,12.53,No
23.03,7.26,1.23,No
94.41,24,4.55,No
28.26,48.42,1.18,No
26.21,14.45,10.19,No
87.33,11.82,4.8,No
41.93,11.28,4.78,No
7.33,49.61,9.36,No
78.74,17.91,11.45,No
33.59,29.04,6.52,No
77.7,31.16,7.49,No
78.26,19.99,3.31,No
40.48,21.97,7.78,No
66.95,2.56,12.54,No
89.97,1.67,11.23,No
15.96,39.66,7.94,No
42.58,10.7,11.51,No
88,40.83,10.46,No
63.09,34.55,4.05,Yes
23.77,3.88,4.63,No
37.36,40.94,3.36,No
29.02,2.76,5.26,No
72.59,32.78,9.96,Yes
20.33,27.57,6.01,Yes
15.99,42.81,3.44,No
67.95,3.46,6.48,No
71.62,34.86,6.82,Yes
12.16,30.09,10.83,No
79.48,0.17,9.42,No
4.44,11.69,4.9,No
80.01,40.25,3.15,No
44.18,47.2,6.05,No
